parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,"{'c': 0.001, 'kappa': 0}",0.00087118003,0.0012922236,2.2243605,0.8190110918588033,0.08711800328455865,0.06052903384474241,22.24360466003418,0.5595570844979574,0.46931807570850387,0.5595570844979574,0.48262302832891874
1,"{'c': 0.01, 'kappa': 0}",0.0014462551,0.0018539143,2.4286175,0.8190110918588033,0.14462551334872842,0.0868391866863936,24.286174774169922,0.52795097828424,0.42843191962693494,0.52795097828424,0.4562013832326588
2,"{'c': 0.05, 'kappa': 0}",0.009732992,0.012499572,3.4994624,0.8190711674908622,0.9732992388308048,0.5854923381470113,34.99462366104126,0.35895506342721994,0.3151748081137391,0.35895506342721994,0.3349373661673083
3,"{'c': 0.1, 'kappa': 0}",0.012998799,0.016801586,3.7673619,0.8190774912416052,1.2998798862099648,0.7870029682517259,37.67361879348755,0.3173511072887551,0.2925036370418026,0.3173511072887551,0.30421299233813154
4,"{'c': 0.5, 'kappa': 0}",0.025919398,0.033751328,4.2288756,0.8191407287490357,2.591939829289913,1.58094565403723,42.288756370544434,0.2399483981939368,0.24471827666041307,0.2399483981939368,0.24230283847909967
5,"{'c': 1, 'kappa': 0}",0.03521401,0.045132145,4.4446354,0.8191660237520078,3.521401062607765,2.114034443613687,44.446353912353516,0.204257149000215,0.21955149818154535,0.204257149000215,0.211553240209527
6,"{'c': 2.3086, 'kappa': 0}",0.040913988,0.053211834,4.4797893,0.8191786712534939,4.091398790478706,2.4924950889763573,44.797892570495605,0.198666953343367,0.21522794050283053,0.198666953343367,0.20653042320106577
7,"{'c': 4.7579, 'kappa': 0}",0.04623566,0.061248984,4.4875298,0.8191786712534939,4.623565822839737,2.8689631611804103,44.87529754638672,0.19705439690389165,0.21397859138756298,0.19705439690389165,0.20507909299916285
8,"{'c': 5.6583, 'kappa': 0}",0.047907494,0.06352297,4.486777,0.8191786712534939,4.790749400854111,2.9754790132611597,44.86776828765869,0.19716190066652334,0.21405855763165424,0.19716190066652334,0.20517445845447627
9,"{'c': 6.4897, 'kappa': 0}",0.049031205,0.065189265,4.4862394,0.8191786712534939,4.903120547533035,3.0535298087129767,44.86239433288574,0.19726940442915503,0.2141384949140113,0.19726940442915503,0.2052698069899667
10,"{'c': 10, 'kappa': 0}",0.05188273,0.06937696,4.483337,0.8191786712534939,5.1882728934288025,3.2496856274802903,44.83336925506592,0.1975919157170501,0.2143781331674851,0.1975919157170501,0.2055557511254204
11,"{'c': 32.6387, 'kappa': 0}",0.060620658,0.077973455,4.4514084,0.8191786712534939,6.062065809965134,3.6523539689391016,44.51408386230469,0.20253708879810794,0.21802030889509366,0.20253708879810794,0.20992125784445623
12,"{'c': 37.284, 'kappa': 0}",0.06081712,0.07809927,4.4514084,0.8191786712534939,6.081711873412132,3.6582474067059065,44.51408386230469,0.20253708879810794,0.21802030889509366,0.20253708879810794,0.20992125784445623
13,"{'c': 100, 'kappa': 0}",0.061472014,0.078735776,4.4536657,0.8191786712534939,6.147201359272003,3.6880618431610577,44.53665733337402,0.20210707374758116,0.21770598183259535,0.20210707374758116,0.2095430564917183
14,"{'c': 639.2624, 'kappa': 0}",0.06224182,0.07956587,4.4610834,0.8191786712534939,6.22418187558651,3.7269441539275068,44.6108341217041,0.20070952483336918,0.2166813014223832,0.20070952483336918,0.20831205506276548
15,"{'c': 1000, 'kappa': 0}",0.06224413,0.07953674,4.460546,0.8191786712534939,6.224412843585014,3.7255799419164664,44.60546016693115,0.20081702859600087,0.2167602928164694,0.20081702859600087,0.2084068479229976
